order_id,user_id,product_id,product_name,category,brand,price,quantity,order_date,order_status
1,1094,126,Football,Sports & Fitness,Yonex,4925.69,1,2025-06-21,Pending
2,722,54,Non-Stick Pan Set,Home & Kitchen,Philips,9020.11,1,2026-05-17,Delivered
3,76,77,Self-Help Book,Books,Scholastic,869.48,1,2024-10-28,Delivered
4,1131,92,Face Wash,Beauty & Personal Care,Plum,800.88,2,2024-11-28,Delivered
5,1127,42,Casual Sneakers,Fashion,Biba,2179.28,1,2025-11-04,Delivered
6,872,37,Formal Shirt,Fashion,Van Heusen,2817.75,1,2026-05-05,Delivered
7,1297,50,Mixer Grinder,Home & Kitchen,Pigeon,9358.17,1,2025-12-07,Delivered
8,1048,108,Trimmer,Beauty & Personal Care,Lakme,2079.68,1,2025-10-10,Cancelled
9,777,64,Induction Cooktop,Home & Kitchen,Milton,1237.44,1,2024-01-26,Delivered
10,1124,85,Biography,Books,Scholastic,675.16,1,2025-05-22,Delivered
11,560,58,Table Lamp,Home & Kitchen,Prestige,3738.0,1,2024-09-06,Pending
12,456,27,Men's T-Shirt,Fashion,Puma,3977.85,1,2025-04-29,Delivered
13,1794,126,Football,Sports & Fitness,Yonex,848.68,1,2025-02-26,Delivered
14,578,26,Men's T-Shirt,Fashion,Nike,4512.88,1,2025-09-05,Shipped
15,798,104,Lipstick,Beauty & Personal Care,Dove,1269.63,1,2026-04-07,Delivered
16,1052,33,Running Shoes,Fashion,Roadster,969.55,1,2025-12-17,Delivered
17,1881,95,Sunscreen SPF50,Beauty & Personal Care,The Man Company,1811.63,1,2025-12-24,Delivered
18,1448,113,Yoga Mat,Sports & Fitness,Decathlon,6905.47,2,2025-06-30,Delivered
19,565,59,Table Lamp,Home & Kitchen,Havells,4140.14,2,2026-05-16,Shipped
20,833,24,Neckband Earphones,Electronics,Realme,57412.16,1,2026-01-20,Delivered
21,192,22,Neckband Earphones,Electronics,Samsung,67111.12,1,2026-02-13,Delivered
22,1791,109,Perfume,Beauty & Personal Care,The Man Company,1740.03,3,2024-05-11,Delivered
23,1020,32,Running Shoes,Fashion,H&M,2204.72,1,2025-08-11,Shipped
24,1528,109,Perfume,Beauty & Personal Care,The Man Company,1800.09,2,2023-11-11,Delivered
25,1514,11,LED TV 43-inch,Electronics,boAt,54976.72,4,2025-11-15,Delivered
26,1807,58,Table Lamp,Home & Kitchen,Prestige,2477.88,1,2026-01-16,Delivered
27,724,109,Perfume,Beauty & Personal Care,The Man Company,1313.44,1,2026-05-16,Shipped
28,693,64,Induction Cooktop,Home & Kitchen,Milton,10853.51,2,2026-04-14,Returned
29,595,76,Self-Help Book,Books,Bloomsbury,337.28,1,2025-02-19,Delivered
30,807,79,Competitive Exam Guide,Books,Scholastic,935.2,3,2024-11-30,Delivered
31,1830,119,Dumbbell Set 10kg,Sports & Fitness,Adidas,6267.96,2,2024-02-23,Delivered
32,13,85,Biography,Books,Scholastic,367.52,1,2025-10-17,Delivered
33,1480,91,Face Wash,Beauty & Personal Care,The Man Company,169.83,1,2024-10-25,Delivered
34,1084,40,Casual Sneakers,Fashion,Levis,2229.38,3,2025-08-10,Delivered
35,1576,58,Table Lamp,Home & Kitchen,Prestige,6250.41,1,2025-11-12,Delivered
36,1828,69,Wall Clock,Home & Kitchen,Philips,1634.86,1,2024-10-21,Cancelled
37,332,112,Yoga Mat,Sports & Fitness,Nivia,238.51,3,2026-07-28,Delivered
38,227,35,Denim Jeans,Fashion,Van Heusen,2153.37,2,2025-05-05,Returned
39,329,123,Badminton Racket,Sports & Fitness,Decathlon,6724.95,4,2025-11-18,Delivered
40,1002,33,Running Shoes,Fashion,Roadster,1825.97,2,2025-09-04,Returned
41,1028,100,Body Lotion,Beauty & Personal Care,The Man Company,457.83,3,2025-12-24,Cancelled
42,259,129,Resistance Band Set,Sports & Fitness,Yonex,291.81,1,2024-09-18,Delivered
43,1700,3,Smartphone,Electronics,boAt,39541.1,1,2025-05-10,Delivered
44,1559,40,Casual Sneakers,Fashion,Levis,3726.47,1,2025-07-04,Delivered
45,236,64,Induction Cooktop,Home & Kitchen,Milton,8744.71,1,2026-03-13,Delivered
46,1604,129,Resistance Band Set,Sports & Fitness,Yonex,4354.48,1,2026-02-11,Returned
47,1289,59,Table Lamp,Home & Kitchen,Havells,1784.88,1,2025-10-29,Delivered
48,394,110,Perfume,Beauty & Personal Care,Lakme,190.5,1,2026-04-25,Returned
49,779,79,Competitive Exam Guide,Books,Scholastic,729.14,4,2025-05-22,Delivered
50,873,110,Perfume,Beauty & Personal Care,Lakme,1662.1,1,2025-11-19,Delivered
51,575,108,Trimmer,Beauty & Personal Care,Lakme,729.38,3,2026-05-07,Delivered
52,2,83,Children's Story Book,Books,Penguin,289.78,1,2025-07-16,Returned
53,207,126,Football,Sports & Fitness,Yonex,2671.35,1,2026-05-30,Delivered
54,28,34,Denim Jeans,Fashion,H&M,1855.7,2,2025-11-29,Delivered
55,1595,96,Sunscreen SPF50,Beauty & Personal Care,Plum,708.89,1,2025-11-02,Delivered
56,179,34,Denim Jeans,Fashion,H&M,3257.93,1,2026-03-27,Delivered
57,1984,49,Mixer Grinder,Home & Kitchen,Havells,2708.83,1,2026-04-13,Delivered
58,1929,88,Business Book,Books,Penguin,370.33,1,2025-09-02,Delivered
59,1093,12,LED TV 43-inch,Electronics,JBL,12201.61,1,2025-12-21,Delivered
60,1826,89,Business Book,Books,Bloomsbury,904.42,1,2026-03-21,Delivered
61,1866,124,Football,Sports & Fitness,Nivia,3048.23,3,2025-06-14,Delivered
62,45,71,Bedsheet Set,Home & Kitchen,Pigeon,9132.0,1,2024-10-02,Delivered
63,1160,49,Mixer Grinder,Home & Kitchen,Havells,9693.12,1,2026-06-27,Delivered
64,1783,43,Handbag,Fashion,Biba,2356.4,1,2025-08-27,Delivered
65,800,70,Bedsheet Set,Home & Kitchen,Bajaj,2887.29,1,2025-05-17,Delivered
66,1213,117,Cricket Bat,Sports & Fitness,Decathlon,3624.96,2,2025-12-07,Delivered
67,1746,69,Wall Clock,Home & Kitchen,Philips,7288.92,1,2024-12-03,Delivered
68,488,38,Formal Shirt,Fashion,Levis,4726.62,1,2025-02-12,Delivered
69,1789,64,Induction Cooktop,Home & Kitchen,Milton,12865.59,1,2026-01-31,Delivered
70,1329,95,Sunscreen SPF50,Beauty & Personal Care,The Man Company,911.72,3,2025-04-03,Returned
71,541,105,Lipstick,Beauty & Personal Care,Nivea,2260.09,1,2025-12-22,Pending
72,1282,92,Face Wash,Beauty & Personal Care,Plum,664.31,4,2026-02-14,Delivered
73,1990,28,Women's Kurta,Fashion,Levis,3695.23,1,2023-12-21,Shipped
74,528,53,Non-Stick Pan Set,Home & Kitchen,Pigeon,10663.8,1,2026-03-16,Delivered
75,1192,102,Body Lotion,Beauty & Personal Care,Mamaearth,514.76,1,2025-10-26,Delivered
76,755,24,Neckband Earphones,Electronics,Realme,45038.74,1,2025-06-23,Cancelled
77,361,126,Football,Sports & Fitness,Yonex,6613.81,1,2024-10-29,Delivered
78,636,46,Sunglasses,Fashion,H&M,4141.25,1,2024-09-27,Delivered
79,294,117,Cricket Bat,Sports & Fitness,Decathlon,6381.09,4,2026-03-24,Delivered
80,1079,4,Bluetooth Earbuds,Electronics,Xiaomi,54612.78,1,2024-08-25,Delivered
81,1693,12,LED TV 43-inch,Electronics,JBL,12589.37,2,2024-05-21,Delivered
82,1923,4,Bluetooth Earbuds,Electronics,Xiaomi,71481.12,1,2025-10-25,Cancelled
83,1111,87,Biography,Books,Bloomsbury,866.45,1,2025-12-30,Delivered
84,1556,114,Yoga Mat,Sports & Fitness,Adidas,5744.16,1,2025-09-13,Delivered
85,500,69,Wall Clock,Home & Kitchen,Philips,8249.44,1,2024-04-11,Cancelled
86,211,27,Men's T-Shirt,Fashion,Puma,2703.25,2,2025-08-31,Delivered
87,1869,59,Table Lamp,Home & Kitchen,Havells,5694.98,1,2024-12-07,Delivered
88,463,99,Hair Serum,Beauty & Personal Care,Plum,1762.9,2,2026-04-20,Returned
89,1008,58,Table Lamp,Home & Kitchen,Prestige,1546.14,3,2026-03-14,Delivered
90,1261,93,Face Wash,Beauty & Personal Care,Dove,2318.8,3,2025-03-22,Returned
91,1239,110,Perfume,Beauty & Personal Care,Lakme,1395.63,1,2024-09-12,Delivered
92,308,78,Self-Help Book,Books,HarperCollins,661.28,1,2026-03-31,Returned
93,556,95,Sunscreen SPF50,Beauty & Personal Care,The Man Company,2341.27,2,2026-04-16,Delivered
94,157,39,Formal Shirt,Fashion,Allen Solly,3954.58,1,2026-01-30,Delivered
95,915,123,Badminton Racket,Sports & Fitness,Decathlon,5738.62,1,2025-12-22,Delivered
96,1489,24,Neckband Earphones,Electronics,Realme,29615.36,1,2025-01-31,Delivered
97,723,124,Football,Sports & Fitness,Nivia,4914.26,1,2026-04-24,Cancelled
98,683,63,Water Bottle Set,Home & Kitchen,Cello,5134.61,1,2024-08-26,Delivered
99,1009,59,Table Lamp,Home & Kitchen,Havells,5153.0,1,2025-08-23,Delivered
100,1184,57,Air Fryer,Home & Kitchen,Pigeon,9213.44,1,2026-01-23,Delivered
101,1743,122,Badminton Racket,Sports & Fitness,Yonex,6710.79,3,2025-01-31,Delivered
102,716,36,Denim Jeans,Fashion,Puma,1684.08,1,2026-08-02,Returned
103,1991,108,Trimmer,Beauty & Personal Care,Lakme,718.87,2,2026-04-27,Delivered
104,283,37,Formal Shirt,Fashion,Van Heusen,2073.07,1,2024-07-27,Shipped
105,762,19,Bluetooth Speaker,Electronics,boAt,43331.93,1,2024-04-29,Delivered
106,301,21,Bluetooth Speaker,Electronics,Apple,22657.09,1,2025-04-18,Cancelled
107,853,47,Sunglasses,Fashion,Biba,2506.89,1,2024-09-10,Delivered
108,1944,106,Trimmer,Beauty & Personal Care,Mamaearth,1847.01,1,2025-02-19,Delivered
109,28,40,Casual Sneakers,Fashion,Levis,581.0,1,2025-02-08,Delivered
110,356,3,Smartphone,Electronics,boAt,36157.05,1,2025-08-02,Shipped
111,931,67,Wall Clock,Home & Kitchen,Cello,11968.17,1,2026-05-19,Delivered
112,868,70,Bedsheet Set,Home & Kitchen,Bajaj,12656.31,1,2026-04-27,Pending
113,257,15,Laptop,Electronics,boAt,20325.45,1,2026-08-03,Delivered
114,1146,20,Bluetooth Speaker,Electronics,Xiaomi,73636.05,1,2025-10-11,Delivered
115,1315,98,Hair Serum,Beauty & Personal Care,Mamaearth,536.34,2,2025-05-21,Delivered
116,399,27,Men's T-Shirt,Fashion,Puma,664.7,1,2025-01-22,Cancelled
117,58,28,Women's Kurta,Fashion,Levis,606.0,1,2025-07-24,Delivered
118,634,9,Smartwatch,Electronics,boAt,22236.9,1,2026-07-04,Delivered
119,92,124,Football,Sports & Fitness,Nivia,509.63,1,2026-03-18,Shipped
120,18,73,Fiction Novel,Books,Scholastic,961.87,1,2026-06-18,Delivered
121,801,34,Denim Jeans,Fashion,H&M,3601.49,1,2025-12-24,Delivered
122,1519,129,Resistance Band Set,Sports & Fitness,Yonex,5689.96,1,2025-08-03,Delivered
123,783,10,LED TV 43-inch,Electronics,Apple,26677.65,1,2025-10-26,Delivered
124,1813,60,Table Lamp,Home & Kitchen,Pigeon,11525.13,2,2025-10-24,Delivered
125,1575,129,Resistance Band Set,Sports & Fitness,Yonex,3709.85,2,2025-12-20,Delivered
126,1906,115,Cricket Bat,Sports & Fitness,Nivia,5539.39,1,2026-01-18,Delivered
127,1753,11,LED TV 43-inch,Electronics,boAt,80247.65,2,2026-05-05,Delivered
128,428,20,Bluetooth Speaker,Electronics,Xiaomi,86254.0,1,2026-07-24,Pending
129,200,37,Formal Shirt,Fashion,Van Heusen,3900.69,1,2026-02-08,Returned
130,1634,23,Neckband Earphones,Electronics,JBL,45301.97,1,2026-01-26,Delivered
131,606,72,Bedsheet Set,Home & Kitchen,Prestige,7599.52,1,2024-09-26,Delivered
