review_id,order_id,user_id,product_id,rating,review_text,review_date
1,3,76,77,4,"Good product overall, minor issues but satisfied with the purchase.",2024-11-10
2,4,1131,92,5,"Excellent product, exactly as described. Very happy with the purchase.",2024-12-15
3,10,1124,85,1,"Poor quality, does not match the images shown online.",2025-06-14
4,12,456,27,5,Superb quality and fast delivery. Highly recommend to everyone.,2025-05-07
5,13,1794,126,2,"Not satisfied, quality is below expectations.",2025-03-09
6,16,1052,33,4,"Decent product for the price, would recommend with minor caution.",2025-12-22
7,17,1881,95,4,"Nice quality, delivery was a bit delayed but product is good.",2026-01-08
8,18,1448,113,4,"Works well, matches the description. Happy with it.",2025-07-17
9,20,833,24,5,Best in this price range. Will buy again from this brand.,2026-02-01
10,24,1528,109,4,"Good product overall, minor issues but satisfied with the purchase.",2023-11-18
11,25,1514,11,4,"Works well, matches the description. Happy with it.",2025-11-27
12,26,1807,58,3,"Quality is average, packaging could have been better.",2026-01-29
13,28,693,64,2,"Not satisfied, quality is below expectations.",2026-04-23
14,30,807,79,5,Amazing value for money. Packaging was also very good.,2024-12-12
15,32,13,85,3,"Quality is average, packaging could have been better.",2025-10-31
16,33,1480,91,2,"Not satisfied, quality is below expectations.",2024-11-07
17,34,1084,40,3,"Quality is average, packaging could have been better.",2025-08-20
18,35,1576,58,5,Best in this price range. Will buy again from this brand.,2025-11-20
19,38,227,35,3,Product is fine but delivery took longer than expected.,2025-05-18
20,39,329,123,5,Best in this price range. Will buy again from this brand.,2025-11-29
21,40,1002,33,2,"Not satisfied, quality is below expectations.",2025-09-11
22,42,259,129,3,"It's okay, nothing special but does the job.",2024-10-05
23,44,1559,40,4,"Good product overall, minor issues but satisfied with the purchase.",2025-07-23
24,45,236,64,4,"Good product overall, minor issues but satisfied with the purchase.",2026-03-22
25,48,394,110,1,"Very disappointed, product stopped working within days.",2026-04-29
26,50,873,110,4,"Decent product for the price, would recommend with minor caution.",2025-11-30
27,51,575,108,4,"Decent product for the price, would recommend with minor caution.",2026-05-26
28,53,207,126,5,"Excellent product, exactly as described. Very happy with the purchase.",2026-06-08
