shipment_id,order_id,courier_partner,warehouse_location,dispatch_date,delivery_date,delivery_status,estimated_days
1,1,Ekart Logistics,Kanpur,,,Processing,4
2,2,Delhivery,Jaipur,2026-05-18,2026-05-22,Delivered Late,2
3,3,Bluedart,Lucknow,2024-10-29,2024-11-01,Delivered,4
4,4,Ekart Logistics,Bhubaneswar,2024-11-28,2024-12-02,Delivered,5
5,5,DTDC,Bhopal,2025-11-04,2025-11-08,Delivered,5
6,6,Ekart Logistics,Nashik,2026-05-05,2026-05-10,Delivered,5
7,7,Ekart Logistics,Lucknow,2025-12-08,2025-12-14,Delivered,7
8,8,Bluedart,Thiruvananthapuram,,,Not Shipped,5
9,9,Xpressbees,Bhopal,2024-01-27,2024-01-31,Delivered,4
10,10,Ecom Express,Delhi,2025-05-22,2025-06-01,Delivered Late,7
11,11,Ekart Logistics,Indore,,,Processing,5
12,12,Ekart Logistics,Hyderabad,2025-04-29,2025-05-04,Delivered,6
13,13,Xpressbees,Guwahati,2025-02-26,2025-03-04,Delivered,6
14,14,Ekart Logistics,Hyderabad,2025-09-07,,In Transit,7
15,15,Bluedart,Chandigarh,2026-04-09,2026-04-16,Delivered Late,6
16,16,Ekart Logistics,Patna,2025-12-17,2025-12-19,Delivered,2
17,17,DTDC,Thiruvananthapuram,2025-12-24,2025-12-26,Delivered,2
18,18,Delhivery,Chandigarh,2025-07-02,2025-07-04,Delivered,2
19,19,DTDC,Thiruvananthapuram,2026-05-18,,In Transit,2
20,20,Bluedart,Bengaluru,2026-01-20,2026-01-24,Delivered,4
21,21,Bluedart,Pune,2026-02-15,2026-02-23,Delivered Late,6
22,22,DTDC,Vadodara,2024-05-12,2024-05-17,Delivered,5
23,23,DTDC,Surat,2025-08-13,,In Transit,5
24,24,DTDC,Bengaluru,2023-11-12,2023-11-13,Delivered,2
25,25,Ecom Express,Vadodara,2025-11-17,2025-11-24,Delivered,7
26,26,Delhivery,Bhopal,2026-01-17,2026-01-20,Delivered Late,2
27,27,Delhivery,Pune,2026-05-16,,In Transit,4
28,28,Ecom Express,Coimbatore,2026-04-14,2026-04-17,Returned,3
29,29,Xpressbees,Vadodara,2025-02-20,2025-02-23,Delivered,3
30,30,Bluedart,Delhi,2024-11-30,2024-12-04,Delivered,4
31,31,Delhivery,Nagpur,2024-02-24,2024-02-28,Delivered Late,2
32,32,Ecom Express,Pune,2025-10-19,2025-10-26,Delivered Late,7
33,33,Bluedart,Vadodara,2024-10-25,2024-11-02,Delivered Late,6
34,34,Bluedart,Chennai,2025-08-12,2025-08-18,Delivered,7
35,35,Xpressbees,Bhopal,2025-11-14,2025-11-17,Delivered,4
36,36,Bluedart,Bengaluru,,,Not Shipped,4
37,37,DTDC,Coimbatore,2026-07-28,2026-08-05,Delivered Late,7
38,38,Bluedart,Bhopal,2025-05-07,2025-05-09,Returned,2
39,39,Ekart Logistics,Chandigarh,2025-11-18,2025-11-25,Delivered,7
40,40,DTDC,Bhopal,2025-09-05,2025-09-10,Returned,6
41,41,Xpressbees,Chennai,,,Not Shipped,5
42,42,Ecom Express,Jaipur,2024-09-18,2024-09-21,Delivered,3
43,43,Ecom Express,Kolkata,2025-05-10,2025-05-11,Delivered,2
44,44,Ecom Express,Chennai,2025-07-05,2025-07-09,Delivered,5
45,45,Ekart Logistics,Bhubaneswar,2026-03-13,2026-03-15,Delivered,3
46,46,Ecom Express,Vadodara,2026-02-11,2026-02-16,Returned,6
47,47,Bluedart,Hyderabad,2025-10-29,2025-11-01,Delivered,3
48,48,Delhivery,Bhubaneswar,2026-04-26,2026-04-28,Returned,2
49,49,Bluedart,Indore,2025-05-22,2025-05-24,Delivered,3
50,50,DTDC,Chandigarh,2025-11-20,2025-11-26,Delivered,6
51,51,DTDC,Pune,2026-05-07,2026-05-12,Delivered,5
52,52,Delhivery,Ranchi,2025-07-17,2025-07-21,Returned,4
53,53,Ecom Express,Guwahati,2026-05-31,2026-06-02,Delivered,2
54,54,Xpressbees,Patna,2025-12-01,2025-12-05,Delivered Late,3
55,55,Xpressbees,Indore,2025-11-04,2025-11-09,Delivered Late,4
56,56,Bluedart,Chennai,2026-03-27,2026-04-02,Delivered,7
57,57,Delhivery,Nagpur,2026-04-13,2026-04-19,Delivered,7
58,58,Delhivery,Amritsar,2025-09-02,2025-09-07,Delivered Late,5
59,59,DTDC,Vadodara,2025-12-22,2025-12-25,Delivered,3
60,60,DTDC,Patna,2026-03-21,2026-03-26,Delivered,5
61,61,Bluedart,Ranchi,2025-06-15,2025-06-19,Delivered Late,4
62,62,Ecom Express,Ranchi,2024-10-03,2024-10-09,Delivered,7
63,63,Xpressbees,Delhi,2026-06-27,2026-07-01,Delivered,5
64,64,Bluedart,Mumbai,2025-08-29,2025-09-03,Delivered Late,5
